Time of A;Time minus avg Time of A;Time of B;Time minus avg Time of B;Avg time of A & B;Payment A;Payment B;Fact.A Time of A;Fact.A Time minus avg Time of A;Fact.A Time of B;Fact.A Time minus avg Time of B;Fact.A Avg time of A & B;Fact.A Payment A;Fact.A Payment B;Fact.B Time of A;Fact.B Time minus avg Time of A;Fact.B Time of B;Fact.B Time minus avg Time of B;Fact.B Avg time of A & B;Fact.B Payment A;Fact.B Payment B
2460.0;-271.0;6969.0;-128.0;-199.5;71.5;-71.5;2460000.0;2457269.0;6969.0;-128.0;1228570.5;-1228698.5;1228698.5;2460.0;-271.0;6969000.0;6961903.0;3480816.0;3481087.0;-3481087.0
4992.0;2261.0;6504.0;-593.0;834.0;-1427.0;1427.0;4992000.0;4989269.0;6504.0;-593.0;2494338.0;-2494931.0;2494931.0;4992.0;2261.0;6504000.0;6496903.0;3249582.0;3247321.0;-3247321.0
1969.0;-762.0;7209.0;112.0;-325.0;437.0;-437.0;1969000.0;1966269.0;7209.0;112.0;983190.5;-983078.5;983078.5;1969.0;-762.0;7209000.0;7201903.0;3600570.5;3601332.5;-3601332.5
1327.0;-1404.0;7930.0;833.0;-285.5;1118.5;-1118.5;1327000.0;1324269.0;7930.0;833.0;662551.0;-661718.0;661718.0;1327.0;-1404.0;7930000.0;7922903.0;3960749.5;3962153.5;-3962153.5
1801.0;-930.0;7330.0;233.0;-348.5;581.5;-581.5;1801000.0;1798269.0;7330.0;233.0;899251.0;-899018.0;899018.0;1801.0;-930.0;7330000.0;7322903.0;3660986.5;3661916.5;-3661916.5
2135.0;-596.0;7115.0;18.0;-289.0;307.0;-307.0;2135000.0;2132269.0;7115.0;18.0;1066143.5;-1066125.5;1066125.5;2135.0;-596.0;7115000.0;7107903.0;3553653.5;3554249.5;-3554249.5
2963.0;232.0;6816.0;-281.0;-24.5;-256.5;256.5;2963000.0;2960269.0;6816.0;-281.0;1479994.0;-1480275.0;1480275.0;2963.0;232.0;6816000.0;6808903.0;3404567.5;3404335.5;-3404335.5
1763.0;-968.0;7351.0;254.0;-357.0;611.0;-611.0;1763000.0;1760269.0;7351.0;254.0;880261.5;-880007.5;880007.5;1763.0;-968.0;7351000.0;7343903.0;3671467.5;3672435.5;-3672435.5
4371.0;1640.0;6573.0;-524.0;558.0;-1082.0;1082.0;4371000.0;4368269.0;6573.0;-524.0;2183872.5;-2184396.5;2184396.5;4371.0;1640.0;6573000.0;6565903.0;3283771.5;3282131.5;-3282131.5
1393.0;-1338.0;7819.0;722.0;-308.0;1030.0;-1030.0;1393000.0;1390269.0;7819.0;722.0;695495.5;-694773.5;694773.5;1393.0;-1338.0;7819000.0;7811903.0;3905282.5;3906620.5;-3906620.5
1255.0;-1476.0;8110.0;1013.0;-231.5;1244.5;-1244.5;1255000.0;1252269.0;8110.0;1013.0;626641.0;-625628.0;625628.0;1255.0;-1476.0;8110000.0;8102903.0;4050713.5;4052189.5;-4052189.5
1996.0;-735.0;7196.0;99.0;-318.0;417.0;-417.0;1996000.0;1993269.0;7196.0;99.0;996684.0;-996585.0;996585.0;1996.0;-735.0;7196000.0;7188903.0;3594084.0;3594819.0;-3594819.0
